Channel,VOR_ILSloc,ILSglide,DMEairbone,DMEground
109Y,116.25,,1133.0,1070
109Z,,,1133.0,1070
110X,116.3,,1134.0,1197
110Y,116.35,,1134.0,1071
110Z,,,1134.0,1071
111X,116.4,,1135.0,1198
111Y,116.45,,1135.0,1072
111Z,,,1135.0,1072
112X,116.5,,1136.0,1199
112Y,116.55,,1136.0,1073
112Z,,,1136.0,1073
113X,116.6,,1137.0,1200
113Y,116.65,,1137.0,1074
113Z,,,1137.0,1074
114X,116.7,,1138.0,1201
114Y,116.75,,1138.0,1075
114Z,,,1138.0,1075
115X,116.8,,1139.0,1202
115Y,116.85,,1139.0,1076
115Z,,,1139.0,1076
116X,116.9,,1140.0,1203
116Y,116.95,,1140.0,1077
116Z,,,1140.0,1077
117X,117.0,,1141.0,1204
117Y,117.05,,1141.0,1078
117Z,,,1141.0,1078
118X,117.1,,1142.0,1205
118Y,117.15,,1142.0,1079
118Z,,,1142.0,1079
119X,117.2,,1143.0,1206
119Y,117.25,,1143.0,1080
119Z,,,1143.0,1080
120X,117.3,,1144.0,1207
120Y,117.35,,1144.0,1081
121X,117.4,,1145.0,1208
121Y,117.45,,1145.0,1082
122X,117.5,,1146.0,1209
122Y,117.55,,1146.0,1083
123X,117.6,,1147.0,1210
123Y,117.65,,,1084
124X,117.7,,,1211
124Y,117.75,,,1085
125X,117.8,,,1212
125Y,117.85,,,1086
126X,117.9,,,1213
126Y,117.95,,,1087
